,,,avg returns,decorrelated avg returns,volatility,sharpe ratio,decorrelated sharpe ratio,max drawdown,max drawdown duration,alpha_BTC,beta_BTC
1e-08,840,840,1.2212176314041967,3.8572640523757635,4.300201607554939,0.28399078528287225,1.444846865506643,-3.2749566740762295,72.16666666666667,0.0017813435527381889,0.08920390778081137
1e-08,840,1680,1.9340437416159184,4.570431459531974,4.300409436507418,0.4497347915752539,1.711975812390232,-11.806430632056282,43.166666666666664,0.0021070845764241475,0.08881860481613495
1e-08,840,2520,2.150115903183802,4.786617176770904,4.296591154831536,0.5004236674383102,1.79716424080578,-11.806430632056282,51.166666666666664,0.002205827970464906,0.08867362748177787
1e-08,420,420,1.3717015795387224,4.006535482742378,4.302450763130442,0.31881865826180406,1.4987817839650335,-14.131770791467195,124.0,0.0018495212570636753,0.09270660089445026
1e-08,420,840,1.7474097979035752,4.382912333494403,4.304293112753534,0.40596905278732887,1.6378586269028248,-8.564185810850155,30.5,0.0020214332524315427,0.09113988652775344
1e-08,420,1260,1.877162550497919,4.512613629622988,4.304806657840937,0.4360619883076013,1.6858449746646413,-2.0859991473129247,35.166666666666664,0.002080674436455331,0.0913866510716909
1e-08,210,210,0.6560856828986491,3.289993395514982,4.300691087598406,0.15255354768226814,1.2318979879309984,-4.2853596406489185,178.66666666666666,0.001522237749208973,0.0947215781913658
1e-08,210,420,1.6019088904769818,4.235654556627714,4.303183657984531,0.37226133435059183,1.5838710941114584,-38.71056073340517,133.0,0.0019541697361806646,0.09592594947866692
1e-08,210,630,1.801112257173426,4.436068236266472,4.3033500402039015,0.4185372419967225,1.658686495619094,-15.62551863516179,81.5,0.002045711276582061,0.09270752812698975
1e-07,840,840,1.0604534204677742,3.6962893048123275,4.300692224970605,0.2465773798716839,1.38410332761435,-3.7728915195780237,72.16666666666667,0.0017078176785465678,0.08966345719750844
1e-07,840,1680,1.8785347483080865,4.5148866178185445,4.3008492688855,0.43678227969958133,1.6907054793143577,-11.806430632056282,51.166666666666664,0.0020817143116392796,0.08887447581580159
1e-07,840,2520,2.1321741079043406,4.76863262035799,4.296428890736429,0.4962665883989239,1.7905829129557524,-11.806430632056282,57.0,0.0021976134148133,0.08877866414168321
1e-07,420,420,1.233668650087401,3.8687345742157437,4.303027231840368,0.28669784865845976,1.4466929420567756,-3.9084691129398825,154.66666666666666,0.0017865808993395343,0.09194946364155913
1e-07,420,840,1.6669356327244271,4.3023267579355835,4.304647853426415,0.38724088229367687,1.6073808505127396,-23.9645754810216,35.166666666666664,0.001984625450029594,0.09138672480092472
1e-07,420,1260,1.8205627655538041,4.455882944307383,4.3052194910638395,0.4228733910855576,1.664223997743298,-2.0859991473129247,35.166666666666664,0.0020547623579496104,0.09170685599006388
1e-07,210,210,0.4194739610225282,3.052859251353062,4.301304024374277,0.0975225091380399,1.1426421251332364,-5.8893744276003455,178.66666666666666,0.0014139253623296187,0.0959909853456428
1e-07,210,420,1.5099770424739174,4.143303388296456,4.303576452854672,0.3508656251412268,1.548952617509122,-2.254695019879647,178.5,0.0019119874042795885,0.09702276476288309
1e-07,210,630,1.744348578338361,4.379102603601129,4.303842131473959,0.4053003165664361,1.636888646031069,-3.3012589124338763,81.66666666666667,0.0020196917526488292,0.09322584669072248
1e-06,840,840,0.6975703626821866,3.3330002345117853,4.302372958410145,0.16213619075459226,1.2467293861680293,-10.264461056812966,124.33333333333333,0.0015418840394009164,0.09050764456447183
1e-06,840,1680,1.7599127071379568,4.396192079022206,4.3015705353016145,0.40913259301339266,1.6455087872117866,-11.806430632056282,65.16666666666667,0.0020275002503805897,0.0889824043383901
1e-06,840,2520,2.0962806895151016,4.73264785606085,4.296132347827029,0.48794602209482546,1.7773805718284406,-11.806430632056282,79.83333333333333,0.0021811771437871426,0.08900497800065042
1e-06,420,420,0.9272007073164582,3.5612341366109366,4.304537286858139,0.21540078422533945,1.3304375371585653,-4.172907324730819,154.66666666666666,0.00164612763863826,0.09458644858290906
1e-06,420,840,1.4934380897975594,4.1284511047648405,4.305533807584382,0.34686479227425976,1.5415578151628988,-38.26093513814172,56.5,0.0019052067527034933,0.09230368871662427
1e-06,420,1260,1.6421101961391995,4.276941052778516,4.306334342181615,0.3813243621272789,1.596279978933077,-2.3804301050037693,35.166666666666664,0.0019730294400067796,0.09293016768153328
1e-06,210,210,-0.052483493133724836,2.5798360351600653,4.303095404448408,-0.012196683596526587,0.9644857838761022,-29.76528341170881,202.83333333333334,0.0011984446172309117,0.09857617354057098
1e-06,210,420,1.3313402619021022,3.9637555089202077,4.305104643055023,0.3092468992710351,1.4804355971748888,-2.5033972539662352,178.5,0.0018299769118510026,0.09942271567932309
1e-06,210,630,1.6069385575575879,4.24095929796176,4.305254208421028,0.37325056309437765,1.5838790583814686,-2.178637170982932,131.5,0.0019565931997756205,0.09516247384157621
