,,,avg returns,decorrelated avg returns,volatility,sharpe ratio,decorrelated sharpe ratio,max drawdown,max drawdown duration,alpha_BTC,beta_BTC
0.01,840,2520,0.20332667513082592,2.845090282993335,4.457290473231499,0.04561665351448719,0.9754922396327574,-11.806430632056282,169.83333333333334,0.001319042208311612,0.07244299745493717
0.02,840,2520,-5.726551577404826,-3.1152770201879516,6.344394091432422,-0.9026159937224044,-0.579430493707064,-11.806430632056282,169.83333333333334,-0.0014034223571357638,0.1527932618031985
0.05,840,2520,-91.53891962380015,-88.96885206825999,73.70850239976087,-1.2419044837912365,-1.208104054245418,-50.36135887460163,169.83333333333334,-0.0406172609359652,0.19951363791662557
