,,,avg returns,decorrelated avg returns,volatility,sharpe ratio,decorrelated sharpe ratio,max drawdown,max drawdown duration,alpha_BTC,beta_BTC
1e-05,840,2520,2.0962806895151016,4.73264785606085,4.296132347827029,0.48794602209482546,1.7773805718284406,-11.806430632056282,79.83333333333333,0.0021811771437871426,0.08900497800065042
0.0001,840,2520,2.0724142824241527,4.708926701565322,4.296243491832684,0.4823782186377211,1.7683432604127254,-11.806430632056282,79.83333333333333,0.002170342739035281,0.08858073145435659
0.001,840,2520,2.0724142824241527,4.708926701565322,4.296243491832684,0.4823782186377211,1.7683432604127254,-11.806430632056282,79.83333333333333,0.002170342739035281,0.08858073145435659
