,,,avg returns,decorrelated avg returns,volatility,sharpe ratio,decorrelated sharpe ratio,max drawdown,max drawdown duration,alpha_BTC,beta_BTC
1e-08,420,210,0.1005958458069897,2.7381488594331245,4.30263761310086,0.02338004146588852,1.0239347435294532,-19.39691094039435,178.66666666666666,0.0012701886653045447,0.08410913669278029
1e-08,840,420,0.030782811637079056,2.663731838837689,4.301610135082882,0.007156113797022646,0.9967501483476325,-5.620324254979163,330.1666666666667,0.0012361899613456144,0.09689904779609346
1e-07,420,210,-0.21734435074074607,2.4199874117950477,4.303414215563735,-0.050505096617169266,0.9044870591091629,-2.92305368158138,182.0,0.001124867487420207,0.08447357191689923
1e-07,840,420,-0.29306187594184646,2.339055413648693,4.302492117439283,-0.06811444807858669,0.8747513790794413,-269.6922356935843,330.1666666666667,0.001087891915408642,0.09896208597697823
1e-08,210,105,-0.690379066389977,1.943698294532229,4.303292824819348,-0.16043041793674803,0.726484236021476,0.0,187.33333333333334,0.0009073155658040563,0.09317735119165317
1e-06,420,210,-0.9521043518920184,1.6849554773208375,4.305518089100171,-0.22113583828677003,0.6288902009571479,0.0,182.0,0.0007891399346182581,0.0846479007553507
1e-06,840,420,-1.0409662901653571,1.5902042186343592,4.305152977702807,-0.24179542412469807,0.5936769278653955,-12.203562743306849,330.1666666666667,0.0007458511309639102,0.10100883101141407
1e-07,210,105,-1.1053434773322528,1.5290178588830032,4.30421905812758,-0.25680465199489616,0.5711312696610688,0.0,187.33333333333334,0.000717910126031385,0.09205500315004665
1e-08,840,168,-1.2712208638722586,1.3662712129713448,4.304844601484865,-0.2953000587834873,0.5101213612511897,0.0,330.1666666666667,0.0006435811811019118,0.08318809440164117
1e-08,420,84,-1.633856082776507,1.0037047466551199,4.300782753698456,-0.37989737597684353,0.3759295654938942,0.0,294.0,0.000477976130738609,0.08621497305767485
1e-07,840,168,-1.7154612019084419,0.9219522074696511,4.3062679138568,-0.39836378883635976,0.3439072383772303,0.0,330.1666666666667,0.00044063759784036393,0.08305426009025983
1e-06,210,105,-1.9887769072326194,0.6450928048509047,4.307056252748186,-0.461748533226992,0.2405150773313277,0.0,548.3333333333334,0.00031417498537620014,0.09272403847392258
1e-07,420,84,-2.164263142904822,0.47317138974143413,4.3019024947177895,-0.5030944205644533,0.17708681744871596,0.0,294.0,0.0002356539116939617,0.08614549599643316
1e-08,840,84,-2.5804382045770575,0.052125847192622685,4.304029359531866,-0.5995401027788814,0.01946804635571144,0.0,486.8333333333333,4.333391165517831e-05,0.09589634818584687
1e-06,840,168,-2.8097583197084024,-0.1727762794473995,4.310354758371532,-0.6518624283189951,-0.06427995104192606,0.0,482.8333333333333,-5.938224467793849e-05,0.0833874715846754
1e-07,840,84,-3.1901947070570387,-0.5578074539881229,4.305795350006613,-0.7409071838614296,-0.20808868482355572,0.0,525.5,-0.00023525445687729813,0.09590466516434556
1e-08,210,42,-3.281793068870104,-0.6420227660051255,4.304065019695155,-0.762486870865753,-0.2402766688820195,0.0,550.8333333333334,-0.0002719836886123859,0.08562091475525145
1e-08,420,42,-3.2896593009104778,-0.6529450158641183,4.30456307824109,-0.7642260645544269,-0.2442983756290306,0.0,506.8333333333333,-0.00027755571957078216,0.09418062207616229
1e-06,420,84,-3.384829936058523,-0.7483614360338584,4.304957543722567,-0.7862632561833828,-0.2795069970684689,0.0,552.5,-0.0003222850206437677,0.08787002787281833
1e-07,210,42,-3.9941522893918067,-1.3546716389979676,4.305257312570209,-0.9277383439382221,-0.5065597347461858,0.0,550.8333333333334,-0.0005974877744139355,0.08586249745239696
1e-07,420,42,-4.032395450926189,-1.3962665417584856,4.306388024202412,-0.9363753169160902,-0.5217728559531205,0.0,506.8333333333333,-0.0006170701428835255,0.0952231332787335
1e-06,840,84,-4.615859033562332,-1.9854607563770323,4.310494887319429,-1.070842015644473,-0.7384257356210122,0.0,552.5,-0.0008873411682158161,0.10032015633993673
1e-06,210,42,-5.653718123689197,-3.0119587379781594,4.31131731438321,-1.311366738149274,-1.123543525879349,0.0,552.5,-0.001353880315585455,0.0851881434191473
1e-06,420,42,-5.680585532855609,-3.044455783194335,4.312969585802886,-1.3170938073745153,-1.1337402192267565,0.0,552.5,-0.001369309628346339,0.09740343995410618
1e-08,210,21,-5.762511995729572,-3.119274638071331,4.314361604506398,-1.3356580935892268,-1.1632020541068533,0.0,548.6666666666666,-0.0014011695064638477,0.0880611356042904
1e-07,210,21,-6.813029557394783,-4.167844141240621,4.319244835723739,-1.5773659092083354,-1.5517172389825429,0.0,550.8333333333334,-0.0018789546997319613,0.08877546989137884
1e-06,210,21,-9.106505129181924,-6.458888667926675,4.329898602831337,-2.1031682181257425,-2.3938568127580586,0.0,552.5,-0.002923666968402244,0.0906525394238884
